Service_Point_A,Service_Point_B,Capacity,Direction
R_1,PS_1,100,1
R_1,PS_2,400,1
R_1,PS_12,250,1
R_2,PS_11,150,1
R_2,PS_12,150,1
R_3,PS_4,250,1
R_3,PS_10,300,1
R_3,PS_11,100,1
R_4,PS_4,150,1
R_4,PS_6,100,1
R_4,PS_7,50,1
R_4,PS_9,100,1
R_4,PS_10,50,1
PS_1,C_1,20,1
PS_1,C_10,40,1
PS_2,C_2,20,1
PS_3,C_2,20,1
PS_5,C_3,40,1
PS_6,C_3,20,1
PS_7,C_4,80,1
PS_8,C_4,80,1
PS_8,C_5,200,1
PS_9,C_5,100,1
PS_9,C_6,500,1
PS_10,C_6,450,1
PS_10,C_7,300,1
PS_11,C_8,100,1
PS_11,C_9,40,1
PS_11,C_2,10,1
PS_12,C_9,20,1
PS_12,C_10,50,1
PS_1,PS_2,400,1
PS_2,PS_3,480,1
PS_3,PS_4,250,0
PS_3,PS_5,350,0
PS_4,PS_5,500,0
PS_5,PS_6,750,0
PS_6,PS_7,750,0
PS_7,PS_8,600,0
PS_8,PS_9,600,0
PS_9,PS_10,500,0
PS_4,PS_10,500,0
