Origin,Destination,CanBeDisabled
C_1,PS_1,yes
C_2,PS_2,yes
C_2,PS_3,yes
C_2,PS_11,no
C_3,PS_5,yes
C_3,PS_6,yes
C_4,PS_7,yes
C_4,PS_8,yes
C_5,PS_8,no
C_5,PS_9,no
C_6,PS_9,no
C_6,PS_10,no
C_7,PS_10,no
C_8,PS_11,no
C_9,PS_11,no
C_9,PS_12,no
C_10,PS_1,yes
C_10,PS_12,no
PS_1,R_1,no
PS_1,C_1,yes
PS_1,C_10,yes
PS_1,PS_2,no
PS_2,R_1,no
PS_2,C_2,yes
PS_2,PS_1,no
PS_2,PS_3,no
PS_3,C_2,yes
PS_3,PS_2,no
PS_3,PS_4,no
PS_3,PS_5,no
PS_4,R_3,no
PS_4,R_4,no
PS_4,PS_5,no
PS_4,PS_10,no
PS_5,C_3,yes
PS_5,PS_6,no
PS_6,R_4,no
PS_6,C_3,yes
PS_6,PS_7,no
PS_7,R_4,yes
PS_7,C_4,yes
PS_7,PS_8,no
PS_8,C_4,yes
PS_8,C_5,no
PS_8,PS_9,no
PS_9,R_4,no
PS_9,C_5,no
PS_9,C_6,no
PS_9,PS_10,yes
PS_10,R_3,no
PS_10,R_4,yes
PS_10,C_6,no
PS_10,C_7,no
PS_11,R_2,no
PS_11,R_3,yes
PS_11,C_8,no
PS_11,C_9,no
PS_11,C_2,no
PS_12,R_1,yes
PS_12,R_2,no
PS_12,C_9,no
PS_12,C_10,no
R_1,PS_1,no
R_1,PS_2,no
R_1,PS_12,yes
R_2,PS_11,no
R_2,PS_12,no
R_3,PS_4,no
R_3,PS_10,no
R_3,PS_11,yes
R_4,PS_4,no
R_4,PS_6,no
R_4,PS_7,yes
R_4,PS_9,no
R_4,PS_10,yes
